TTCN,IMM_major_product_group,IMM_product_summary
44011000,Wood,Fuelwood
44012100,Wood,Chips
44012200,Wood,Chips
44013010,Wood,Wood waste
44013020,Wood,Wood waste
44013040,Wood,Wood waste
44013080,Wood,Wood waste
44013090,Wood,Wood waste
44013100,Wood,Wood pellets
44013910,Wood,Wood waste
44013920,Wood,Wood waste
44013930,Wood,Wood waste
44013980,Wood,Wood waste
44013990,Wood,Wood waste
44020000,Wood,Charcoal
44021000,Wood,Charcoal
44029000,Wood,Charcoal
44031000,Wood,Logs: softwood
44032010,Wood,Logs: softwood
44032011,Wood,Logs: softwood
44032019,Wood,Logs: softwood
44032030,Wood,Logs: softwood
44032031,Wood,Logs: softwood
44032039,Wood,Logs: softwood
44032090,Wood,Logs: softwood
44032091,Wood,Logs: softwood
44032099,Wood,Logs: softwood
44034100,Wood,Logs: tropical hardwood
44034910,Wood,Logs: tropical hardwood
44034920,Wood,Logs: tropical hardwood
44034935,Wood,Logs: tropical hardwood
44034940,Wood,Logs: tropical hardwood
44034980,Wood,Logs: tropical hardwood
44034995,Wood,Logs: tropical hardwood
44039100,Wood,Logs: other hardwood
44039110,Wood,Logs: other hardwood
44039190,Wood,Logs: other hardwood
44039200,Wood,Logs: other hardwood
44039210,Wood,Logs: other hardwood
44039290,Wood,Logs: other hardwood
44039910,Wood,Logs: other hardwood
44039930,Wood,Logs: other hardwood
44039950,Wood,Logs: other hardwood
44039951,Wood,Logs: other hardwood
44039959,Wood,Logs: other hardwood
44039995,Wood,Logs: other hardwood
44039998,Wood,Logs: other hardwood
44041000,Wood,Poles
44042000,Wood,Poles
44050000,Wood,Wood wool
44061000,Wood,Sleepers
44069000,Wood,Sleepers
44071015,Wood,Sawn: softwood
44071031,Wood,Sawn: softwood
44071033,Wood,Sawn: softwood
44071038,Wood,Sawn: softwood
44071091,Wood,Sawn: softwood
44071093,Wood,Sawn: softwood
44071098,Wood,Sawn: softwood
44072110,Wood,Sawn: tropical hardwood
44072191,Wood,Sawn: tropical hardwood
44072199,Wood,Sawn: tropical hardwood
44072210,Wood,Sawn: tropical hardwood
44072291,Wood,Sawn: tropical hardwood
44072299,Wood,Sawn: tropical hardwood
44072415,Wood,Sawn: tropical hardwood
44072430,Wood,Sawn: tropical hardwood
44072490,Wood,Sawn: tropical hardwood
44072510,Wood,Sawn: tropical hardwood
44072530,Wood,Sawn: tropical hardwood
44072550,Wood,Sawn: tropical hardwood
44072560,Wood,Sawn: tropical hardwood
44072580,Wood,Sawn: tropical hardwood
44072590,Wood,Sawn: tropical hardwood
44072610,Wood,Sawn: tropical hardwood
44072630,Wood,Sawn: tropical hardwood
44072650,Wood,Sawn: tropical hardwood
44072690,Wood,Sawn: tropical hardwood
44072710,Wood,Sawn: tropical hardwood
44072791,Wood,Sawn: tropical hardwood
44072799,Wood,Sawn: tropical hardwood
44072810,Wood,Sawn: tropical hardwood
44072891,Wood,Sawn: tropical hardwood
44072899,Wood,Sawn: tropical hardwood
44072905,Wood,Sawn: tropical hardwood
44072915,Wood,Sawn: tropical hardwood
44072920,Wood,Sawn: tropical hardwood
44072925,Wood,Sawn: tropical hardwood
44072930,Wood,Sawn: tropical hardwood
44072931,Wood,BJC: Flooring
44072939,Wood,Sawn: tropical hardwood
44072945,Wood,Sawn: tropical hardwood
44072950,Wood,Sawn: tropical hardwood
44072960,Wood,Sawn: tropical hardwood
44072961,Wood,Sawn: tropical hardwood
44072968,Wood,Sawn: tropical hardwood
44072969,Wood,Sawn: tropical hardwood
44072983,Wood,Sawn: tropical hardwood
44072985,Wood,Sawn: tropical hardwood
44072995,Wood,Sawn: tropical hardwood
44072999,Wood,Sawn: tropical hardwood
44079115,Wood,Sawn: other hardwood
44079131,Wood,BJC: Flooring
