Eurostat_partner_code,Country_name,Forest_zone_short,EU,Continent_detail,Continent,VPA Status 2014,VPA_Status_2018
0322,Congo DR,PRITROP,0,AFRICA - C,AFRICA,Negotiation,Negotiation
0442,Panama,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0352,Tanzania,PRITROP,0,AFRICA - C,AFRICA,,
0350,Uganda,PRITROP,0,AFRICA - C,AFRICA,,
0346,Kenya,PRITROP,0,AFRICA - C,AFRICA,,
0342,Somalia,PRITROP,0,AFRICA - C,AFRICA,,
0338,Djibouti,PRITROP,0,AFRICA - C,AFRICA,,
0336,Eritrea,PRITROP,0,AFRICA - C,AFRICA,,
0334,Ethiopia,PRITROP,0,AFRICA - C,AFRICA,,
0330,Angola,PRITROP,0,AFRICA - C,AFRICA,,
0329,St Helena,PRITROP,0,AFRICA - C,AFRICA,,
0357,Br. In. Ocn. T.,PRITROP,0,ASIA - SO,ASIA - OT,,
0324,Rwanda,PRITROP,0,AFRICA - C,AFRICA,,
0366,Mozamb.,PRITROP,0,AFRICA - C,AFRICA,,
0318,Congo,PRITROP,0,AFRICA - C,AFRICA,Implementation,Implementation
0314,Gabon,PRITROP,0,AFRICA - C,AFRICA,Negotiation,Negotiation
0311,Sao Tome-Pr.,PRITROP,0,AFRICA - C,AFRICA,,
0310,Eq. Guinea,PRITROP,0,AFRICA - C,AFRICA,,
0306,Cent. Afr. Rp.,PRITROP,0,AFRICA - C,AFRICA,Implementation,Implementation
0302,Cameroon,PRITROP,0,AFRICA - C,AFRICA,Implementation,Implementation
0288,Nigeria,PRITROP,0,AFRICA - C,AFRICA,,
0284,Benin,PRITROP,0,AFRICA - C,AFRICA,,
0280,Togo,PRITROP,0,AFRICA - C,AFRICA,,
0276,Ghana,PRITROP,0,AFRICA - C,AFRICA,Implementation,Implementation
0328,Burundi,PRITROP,0,AFRICA - C,AFRICA,,
0395,Lesotho,PRITEMP,0,AFRICA - S,AFRICA,,
0436,Costa Rica,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0432,Nicaragua,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0428,El Salvador,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0424,Honduras,PRITROP,0,AMERICA - CC,AMERICA - SC,Negotiation,Negotiation
0421,Belize,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0416,Guatemala,PRITROP,0,AMERICA - CC,AMERICA - SC,Pre-negotiations,
0413,Bermuda,PRITROP,0,AMERICA - N,AMERICA - N,,
0412,Mexico,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0408,St Pierre-Miq,PRITROP,0,AMERICA - N,AMERICA - N,,
0406,Greenland,PRITEMP,0,EUROPE - W,EUROPE,,
0355,Seychelles,PRITROP,0,AFRICA - C,AFRICA,,
0893,Sth. Georgia,POLAR,0,POLAR,POLAR,,
0264,Sierra Leone,PRITROP,0,AFRICA - C,AFRICA,Pre-negotiations,
0391,Botswana,PRIARIDMNT,0,AFRICA - S,AFRICA,,
0389,Namibia,PRIARIDMNT,0,AFRICA - S,AFRICA,,
0388,South Africa,PRITEMP,0,AFRICA - S,AFRICA,,
0386,Malawi,PRITROP,0,AFRICA - C,AFRICA,,
0382,Zimbabwe,PRITROP,0,AFRICA - C,AFRICA,,
0378,Zambia,PRITROP,0,AFRICA - C,AFRICA,,
0377,Mayotte,PRITROP,0,AFRICA - C,AFRICA,,
0375,Comoros,PRITROP,0,AFRICA - C,AFRICA,,
0373,Mauritius,PRITROP,0,AFRICA - C,AFRICA,,
0370,Madagascar,PRITROP,0,AFRICA - C,AFRICA,,
0404,Canada,PRITEMP,0,AMERICA - N,AMERICA - N,,
0048,Yugoslavia,PRITEMP,0,EUROPE - E,EUROPE,,
0081,Uzbekistan,PRIARIDMNT,0,CIS,CIS,,
0080,Turkmenstn.,PRIARIDMNT,0,CIS,CIS,,
0079,Kazakhstan,PRIARIDMNT,0,CIS,CIS,,
0078,Azerbaijan,PRIARIDMNT,0,CIS,CIS,,
0077,Armenia,PRITEMP,0,CIS,CIS,,
0076,Georgia,PRITEMP,0,CIS,CIS,,
0075,Russia,PRITEMP,0,CIS,CIS,,
0074,Moldova,PRITEMP,0,CIS,CIS,,
0073,Belarus,PRITEMP,0,CIS,CIS,,
0072,Ukraine,PRITEMP,0,CIS,CIS,,
0272,Côte d'Ivoire,PRITROP,0,AFRICA - C,AFRICA,Negotiation,Negotiation
0052,Turkey,PRITEMP,0,ASIA - ME,ASIA - OT,,
0093,Bosnia Herz.,PRITEMP,0,EUROPE - E,EUROPE,,
0047,San Marino,PRITEMP,0,EUROPE - W,EUROPE,,
0045,Vatican City,PRITEMP,0,EUROPE - W,EUROPE,,
0044,Gibraltar,PRITEMP,0,EUROPE - W,EUROPE,,
0043,Andorra,PRITEMP,0,EUROPE - W,EUROPE,,
0041,Faeroe Isds,PRITEMP,0,EUROPE - W,EUROPE,,
0039,Switzerland,PRITEMP,0,EUROPE - W,EUROPE,,
0037,Liechtenst.,PRITEMP,0,EUROPE - W,EUROPE,,
0028,Norway,PRITEMP,0,EUROPE - W,EUROPE,,
0024,Iceland,PRITEMP,0,EUROPE - W,EUROPE,,
0023,Melilla,PRITROP,0,AFRICA - C,AFRICA,,
0070,Albania,PRITEMP,0,EUROPE - E,EUROPE,,
0220,Egypt,PRIARIDMNT,0,AFRICA - N,AFRICA,,
0400,USA,PRITEMP,0,AMERICA - N,AMERICA - N,,
0260,Guinea,PRITROP,0,AFRICA - C,AFRICA,,
0257,Guinea-Biss.,PRITROP,0,AFRICA - C,AFRICA,,
0252,Gambia,PRITROP,0,AFRICA - C,AFRICA,,
0248,Senegal,PRITROP,0,AFRICA - C,AFRICA,,
0247,Cape Verde,PRITROP,0,AFRICA - C,AFRICA,,
0244,Chad,PRITROP,0,AFRICA - C,AFRICA,,
0240,Niger,PRITROP,0,AFRICA - C,AFRICA,,
0236,Burkina Faso,PRITROP,0,AFRICA - C,AFRICA,,
0232,Mali,PRITROP,0,AFRICA - C,AFRICA,,
0082,Tajikistan,PRIARIDMNT,0,CIS,CIS,,
0224,Sudan,PRIARIDMNT,0,AFRICA - N,AFRICA,,
0083,Kyrgyzstan,PRIARIDMNT,0,CIS,CIS,,
0216,Libya,PRIARIDMNT,0,AFRICA - N,AFRICA,,
0212,Tunisia,PRIARIDMNT,0,AFRICA - N,AFRICA,,
0208,Algeria,PRIARIDMNT,0,AFRICA - N,AFRICA,,
0204,Morocco,PRIARIDMNT,0,AFRICA - N,AFRICA,,
0202,Canary Is.,PRITROP,0,AFRICA - N,AFRICA,,
0098,Serbia,PRITEMP,0,EUROPE - E,EUROPE,,
0097,Montenegro,PRITEMP,0,EUROPE - E,EUROPE,,
0096,Macedonia,PRITEMP,0,EUROPE - E,EUROPE,,
0095,Kosovo,PRITEMP,0,EUROPE - E,EUROPE,,
0094,Serbia-Mont.,PRITEMP,0,EUROPE - E,EUROPE,,
0268,Liberia,PRITROP,0,AFRICA - C,AFRICA,Implementation,Implementation
0228,Mauritania,PRITROP,0,AFRICA - C,AFRICA,,
0696,Cambodia,PRITROP,0,ASIA - SE,ASIA - SE,Preparation,
0740,Hong Kong,PRITROP,0,ASIA - GC,ASIA - GC,,
0736,Taiwan,PRITEMP,0,ASIA - GC,ASIA - GC,,
0732,Japan,PRITEMP,0,ASIA - NE,ASIA - OT,,
0728,S. Korea,PRITEMP,0,ASIA - NE,ASIA - OT,,
0724,N. Korea,PRITEMP,0,ASIA - NE,ASIA - OT,,
0720,China,TROP&TEMP,0,ASIA - GC,ASIA - GC,,
0716,Mongolia,PRIARIDMNT,0,ASIA - GC,ASIA - GC,,
0708,Philippines,PRITROP,0,ASIA - SE,ASIA - SE,Pre-negotiations,
0706,Singapore,PRITROP,0,ASIA - SE,ASIA - SE,,
0393,Swaziland,PRIARIDMNT,0,AFRICA - S,AFRICA,,
0662,Pakistan,PRIARIDMNT,0,ASIA - SO,ASIA - OT,,
0446,Anguilla,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0801,Papua N.G.,PRITROP,0,OCEANIA,PACIFIC,Pre-negotiations,
0690,Viet Nam,PRITROP,0,ASIA - SE,ASIA - SE,Negotiation,Negotiation
0684,Laos,PRITROP,0,ASIA - SE,ASIA - SE,Negotiation,Negotiation
0680,Thailand,PRITROP,0,ASIA - SE,ASIA - SE,Negotiation,Negotiation
0676,Myanmar,PRITROP,0,ASIA - SE,ASIA - SE,Preparation,
0675,Bhutan,PRIARIDMNT,0,ASIA - SO,ASIA - OT,,
0672,Nepal,PRIARIDMNT,0,ASIA - SO,ASIA - OT,,
0669,Sri Lanka,PRITROP,0,ASIA - SO,ASIA - OT,,
0667,Maldives,PRITROP,0,ASIA - SO,ASIA - OT,,
0666,Bangladesh,PRITROP,0,ASIA - SO,ASIA - OT,,
0664,India,PRITROP,0,ASIA - SO,ASIA - OT,,
0701,Malaysia,PRITROP,0,ASIA - SE,ASIA - SE,Negotiation,Negotiation
0817,Tonga,PRITROP,0,OCEANIA,PACIFIC,,
0892,Bouvet Island  ,POLAR,0,POLAR,POLAR,,
0890,Polar Reg.,POLAR,0,POLAR,POLAR,,
0837,Cook Is.,PRITROP,0,OCEANIA,PACIFIC,,
0833,Cocos Isds,PRITROP,0,OCEANIA,PACIFIC,,
0832,US Minor Is.,PRITROP,0,OCEANIA,PACIFIC,,
0831,Guam,PRITROP,0,OCEANIA,PACIFIC,,
0825,Palau,PRITROP,0,OCEANIA,PACIFIC,,
0824,Marshall Is.,PRITROP,0,OCEANIA,PACIFIC,,
0823,Micronesia,PRITROP,0,OCEANIA,PACIFIC,,
0822,Frnch-Plyns.,PRITROP,0,OCEANIA,PACIFIC,,
0743,Macao,PRITROP,0,ASIA - GC,ASIA - GC,,
0819,Samoa,PRITROP,0,OCEANIA,PACIFIC,,
0800,Australia,PRITEMP,0,AUSTRAL,PACIFIC,,
0816,Vanuatu,PRITROP,0,OCEANIA,PACIFIC,,
0815,Fiji,PRITROP,0,OCEANIA,PACIFIC,,
0813,Pitcairn,PRITROP,0,OCEANIA,PACIFIC,,
0812,Kiribati,PRITROP,0,OCEANIA,PACIFIC,,
0809,New Caled.,PRITROP,0,OCEANIA,PACIFIC,,
0807,Tuvalu,PRITROP,0,OCEANIA,PACIFIC,,
0806,Solomon Is.,PRITROP,0,OCEANIA,PACIFIC,Pre-negotiations,
0804,N. Zealand,PRITEMP,0,AUSTRAL,PACIFIC,,
0803,Nauru,PRITROP,0,OCEANIA,PACIFIC,,
0802,Austr. Ocean.,PRITROP,0,OCEANIA,PACIFIC,,
0700,Indonesia,PRITROP,0,ASIA - SE,ASIA - SE,Implementation,FLEGT-Licensing
0820,N. Mariana Is.,PRITROP,0,OCEANIA,PACIFIC,,
0465,Saint Lucia,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0488,Guyana,PRITROP,0,AMERICA - S,AMERICA - SC,Negotiation,Negotiation
0484,Venezuela,PRITROP,0,AMERICA - S,AMERICA - SC,,
0480,Colombia,PRITROP,0,AMERICA - S,AMERICA - SC,Pre-negotiations,
0478,Neth. Antilles,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0474,Aruba,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0473,Grenada,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0472,Trin. & Tob.,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0470,Montserrat,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0469,Barbados,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0660,Afghanistan,PRIARIDMNT,0,ASIA - SO,ASIA - OT,,
0492,Suriname,PRITROP,0,AMERICA - S,AMERICA - SC,,
0703,Brunei Dar.,PRITROP,0,ASIA - SE,ASIA - SE,,
0468,Br. Virg. Isds,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0464,Jamaica,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0463,Cayman Isds,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0460,Dominica,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0459,Antigua-Bar.,PRITROP,0,AMERICA - CC,AMERICA - SC,,
