Product_code,STIX_major_product_group,STIX_product_summary,STIX_order
44011000,Biomass,Fuelwood,AD
44011100,Biomass,Fuelwood,AD
44011200,Biomass,Fuelwood,AD
44012100,Biomass,Chips,AC
44012200,Biomass,Chips,AC
44013010,Biomass,Wood waste,AE
44013020,Biomass,Wood waste,AE
44013040,Biomass,Wood waste,AE
44013080,Biomass,Wood waste,AE
44013090,Biomass,Wood waste,AE
44013100,Biomass,Pellets,AB
44013900,Biomass,Wood waste,AE
44013910,Biomass,Wood waste,AE
44013920,Biomass,Wood waste,AE
44013930,Biomass,Wood waste,AE
44013980,Biomass,Wood waste,AE
44013990,Biomass,Wood waste,AE
44014010,Biomass,Wood waste,AE
44014090,Biomass,Wood waste,AE
44020000,Other wood products,Charcoal,JD
44021000,Other wood products,Charcoal,JD
44029000,Other wood products,Charcoal,JD
44031000,Logs,Softwood,BD
44031100,Logs,Softwood,BD
44031200,Logs,Softwood,BD
44032010,Logs,Softwood,BD
44032011,Logs,Softwood,BD
44032019,Logs,Softwood,BD
44032030,Logs,Softwood,BD
44032031,Logs,Softwood,BD
44032039,Logs,Softwood,BD
44032090,Logs,Softwood,BD
44032091,Logs,Softwood,BD
44032099,Logs,Softwood,BD
44032110,Logs,Softwood,BD
44032190,Logs,Softwood,BD
44032200,Logs,Softwood,BD
44032310,Logs,Softwood,BD
44032390,Logs,Softwood,BD
44032400,Logs,Softwood,BD
44032510,Logs,Softwood,BD
44032590,Logs,Softwood,BD
44032600,Logs,Softwood,BD
44034100,Logs,Tropical hardwood,BB
44034910,Logs,Tropical hardwood,BB
44034920,Logs,Tropical hardwood,BB
44034935,Logs,Tropical hardwood,BB
44034940,Logs,Tropical hardwood,BB
44034980,Logs,Tropical hardwood,BB
44034985,Logs,Tropical hardwood,BB
44034995,Logs,Tropical hardwood,BB
44039100,Logs,Other hardwood,BC
44039110,Logs,Other hardwood,BC
44039190,Logs,Other hardwood,BC
44039200,Logs,Other hardwood,BC
44039210,Logs,Other hardwood,BC
44039290,Logs,Other hardwood,BC
44039300,Logs,Other hardwood,BC
44039400,Logs,Other hardwood,BC
44039510,Logs,Other hardwood,BC
44039590,Logs,Other hardwood,BC
44039600,Logs,Other hardwood,BC
44039700,Logs,Other hardwood,BC
44039800,Logs,Other hardwood,BC
44039900,Logs,Other hardwood,BC
44039910,Logs,Other hardwood,BC
44039930,Logs,Other hardwood,BC
44039950,Logs,Other hardwood,BC
44039951,Logs,Other hardwood,BC
44039959,Logs,Other hardwood,BC
44039995,Logs,Other hardwood,BC
44039998,Logs,Other hardwood,BC
44041000,Other wood products,Poles,JJ
44042000,Other wood products,Poles,JJ
44050000,Other wood products,Wood wool,JN
44061000,Other wood products,Sleepers,JL
44061100,Other wood products,Sleepers,JL
44061200,Other wood products,Sleepers,JL
44069000,Other wood products,Sleepers,JL
44069100,Other wood products,Sleepers,JL
44069200,Other wood products,Sleepers,JL
44071015,Sawnwood,Softwood,CD
44071031,Sawnwood,Softwood,CD
44071033,Sawnwood,Softwood,CD
44071038,Sawnwood,Softwood,CD
44071091,Sawnwood,Softwood,CD
44071093,Sawnwood,Softwood,CD
44071098,Sawnwood,Softwood,CD
44071110,Sawnwood,Softwood,CD
44071120,Sawnwood,Softwood,CD
44071190,Sawnwood,Softwood,CD
44071210,Sawnwood,Softwood,CD
44071220,Sawnwood,Softwood,CD
44071290,Sawnwood,Softwood,CD
44071910,Sawnwood,Softwood,CD
44071920,Sawnwood,Softwood,CD
44071990,Sawnwood,Softwood,CD
44072110,Sawnwood,Tropical hardwood,CB
44072191,Sawnwood,Tropical hardwood,CB
44072199,Sawnwood,Tropical hardwood,CB
44072210,Sawnwood,Tropical hardwood,CB
44072291,Sawnwood,Tropical hardwood,CB
44072299,Sawnwood,Tropical hardwood,CB
44072415,Sawnwood,Tropical hardwood,CB
44072430,Sawnwood,Tropical hardwood,CB
44072490,Sawnwood,Tropical hardwood,CB
44072510,Sawnwood,Tropical hardwood,CB
44072530,Sawnwood,Tropical hardwood,CB
44072550,Sawnwood,Tropical hardwood,CB
44072560,Sawnwood,Tropical hardwood,CB
44072580,Sawnwood,Tropical hardwood,CB
44072590,Sawnwood,Tropical hardwood,CB
44072610,Sawnwood,Tropical hardwood,CB
44072630,Sawnwood,Tropical hardwood,CB
44072650,Sawnwood,Tropical hardwood,CB
44072690,Sawnwood,Tropical hardwood,CB
44072710,Sawnwood,Tropical hardwood,CB
44072791,Sawnwood,Tropical hardwood,CB
44072799,Sawnwood,Tropical hardwood,CB
44072810,Sawnwood,Tropical hardwood,CB
44072891,Sawnwood,Tropical hardwood,CB
44072899,Sawnwood,Tropical hardwood,CB
44072905,Sawnwood,Tropical hardwood,CB
44072915,Sawnwood,Tropical hardwood,CB
44072920,Sawnwood,Tropical hardwood,CB
44072925,Sawnwood,Tropical hardwood,CB
44072930,Sawnwood,Tropical hardwood,CB
44072931,Joinery,Flooring,HH
44072939,Sawnwood,Tropical hardwood,CB
44072945,Sawnwood,Tropical hardwood,CB
44072950,Sawnwood,Tropical hardwood,CB
44072960,Sawnwood,Tropical hardwood,CB
44072961,Sawnwood,Tropical hardwood,CB
44072968,Sawnwood,Tropical hardwood,CB
44072969,Sawnwood,Tropical hardwood,CB
44072983,Sawnwood,Tropical hardwood,CB
44072985,Sawnwood,Tropical hardwood,CB
44072995,Sawnwood,Tropical hardwood,CB
44072996,Sawnwood,Tropical hardwood,CB
44072997,Sawnwood,Tropical hardwood,CB
44072998,Sawnwood,Tropical hardwood,CB
44072999,Sawnwood,Tropical hardwood,CB
44079115,Sawnwood,Other hardwood,CC
44079131,Joinery,Flooring,HH
44079139,Sawnwood,Other hardwood,CC
44079190,Sawnwood,Other hardwood,CC
44079200,Sawnwood,Other hardwood,CC
44079310,Sawnwood,Other hardwood,CC
44079391,Sawnwood,Other hardwood,CC
44079399,Sawnwood,Other hardwood,CC
44079410,Sawnwood,Other hardwood,CC
44079491,Sawnwood,Other hardwood,CC
44079499,Sawnwood,Other hardwood,CC
44079510,Sawnwood,Other hardwood,CC
44079591,Sawnwood,Other hardwood,CC
44079599,Sawnwood,Other hardwood,CC
44079610,Sawnwood,Other hardwood,CC
44079691,Sawnwood,Other hardwood,CC
44079699,Sawnwood,Other hardwood,CC
44079710,Sawnwood,Other hardwood,CC
44079791,Sawnwood,Other hardwood,CC
44079799,Sawnwood,Other hardwood,CC
44079910,Sawnwood,Other hardwood,CC
44079920,Sawnwood,Other hardwood,CC
44079925,Sawnwood,Other hardwood,CC
44079927,Sawnwood,Other hardwood,CC
44079930,Sawnwood,Other hardwood,CC
44079940,Sawnwood,Other hardwood,CC
44079950,Sawnwood,Other hardwood,CC
44079990,Sawnwood,Other hardwood,CC
44079991,Sawnwood,Other hardwood,CC
44079994,Sawnwood,Other hardwood,CC
44079996,Sawnwood,Other hardwood,CC
44079997,Sawnwood,Other hardwood,CC
44079998,Sawnwood,Other hardwood,CC
44081015,Veneer,Softwood,ED
44081091,Veneer,Softwood,ED
44081093,Veneer,Softwood,ED
44081098,Veneer,Softwood,ED
44081099,Veneer,Softwood,ED
44083111,Veneer,Tropical hardwood,EB
44083121,Veneer,Tropical hardwood,EB
44083125,Veneer,Tropical hardwood,EB
44083130,Veneer,Tropical hardwood,EB
44083915,Veneer,Tropical hardwood,EB
44083921,Veneer,Tropical hardwood,EB
44083930,Veneer,Tropical hardwood,EB
44083931,Veneer,Tropical hardwood,EB
44083935,Veneer,Tropical hardwood,EB
44083955,Veneer,Tropical hardwood,EB
44083970,Veneer,Tropical hardwood,EB
44083980,Veneer,Tropical hardwood,EB
44083985,Veneer,Tropical hardwood,EB
44083990,Veneer,Tropical hardwood,EB
44083995,Veneer,Tropical hardwood,EB
44089015,Veneer,Other hardwood,EC
44089035,Veneer,Other hardwood,EC
44089081,Veneer,Other hardwood,EC
44089085,Veneer,Other hardwood,EC
44089089,Veneer,Other hardwood,EC
44089095,Veneer,Other hardwood,EC
44091011,Mouldings,Softwood,DC
44091018,Mouldings,Softwood,DC
44092011,Mouldings,Hardwood,DB
44092091,Joinery,Flooring,HH
44092098,Mouldings,Hardwood,DB
44092100,Bamboo products,All bamboo products,UA
44092200,Joinery,Flooring,HH
44092910,Mouldings,Hardwood,DB
44092991,Joinery,Flooring,HH
44092999,Mouldings,Hardwood,DB
44101110,Composite panels,Particle Board,GC
44101130,Composite panels,Particle Board,GC
44101150,Composite panels,Particle Board,GC
44101190,Composite panels,Particle Board,GC
44101210,Composite panels,Particle Board,GC
44101290,Composite panels,Particle Board,GC
44101900,Composite panels,Particle Board,GC
44101910,Composite panels,Particle Board,GC
44101930,Composite panels,Particle Board,GC
44101950,Composite panels,Particle Board,GC
44101990,Composite panels,Particle Board,GC
44102100,Composite panels,Particle Board,GC
44102900,Composite panels,Particle Board,GC
44103100,Composite panels,Particle Board,GC
44103200,Composite panels,Particle Board,GC
44103300,Composite panels,Particle Board,GC
44103900,Composite panels,Particle Board,GC
44109000,Composite panels,Particle Board,GC
44111110,Composite panels,Fibreboard,GB
44111190,Composite panels,Fibreboard,GB
44111210,Composite panels,Fibreboard,GB
44111290,Composite panels,Fibreboard,GB
44111310,Composite panels,Fibreboard,GB
44111390,Composite panels,Fibreboard,GB
44111410,Composite panels,Fibreboard,GB
44111490,Composite panels,Fibreboard,GB
44111910,Composite panels,Fibreboard,GB
44111990,Composite panels,Fibreboard,GB
44112110,Composite panels,Fibreboard,GB
44112190,Composite panels,Fibreboard,GB
44112910,Composite panels,Fibreboard,GB
44112990,Composite panels,Fibreboard,GB
44113110,Composite panels,Fibreboard,GB
44113190,Composite panels,Fibreboard,GB
44113910,Composite panels,Fibreboard,GB
44113990,Composite panels,Fibreboard,GB
44119100,Composite panels,Fibreboard,GB
44119210,Composite panels,Fibreboard,GB
44119290,Composite panels,Fibreboard,GB
44119310,Composite panels,Fibreboard,GB
44119390,Composite panels,Fibreboard,GB
44119410,Composite panels,Fibreboard,GB
44119490,Composite panels,Fibreboard,GB
44119900,Composite panels,Fibreboard,GB
44121000,Bamboo products,All bamboo products,UA
44121310,Plywood,Tropical hardwood,FB
44121390,Plywood,Tropical hardwood,FB
44121400,Plywood,Other hardwood,FC
44121900,Plywood,Softwood,FD
44122210,Plywood,Tropical hardwood,FB
44122291,Plywood,Blockboard and similar,FE
44122299,Plywood,Tropical hardwood,FB
44122300,Plywood,Other hardwood,FC
44122920,Plywood,Blockboard and similar,FE
44122980,Plywood,Other hardwood,FC
44123110,Plywood,Tropical hardwood,FB
